CIS 2017-2018 Schedule - Tentative - MASTER SUBJECT TO CHANGE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fall 2017,,,,,,,,,,,,,,,,+ Online,,Winter 2018,,,,,,,,,,,,,,,,+ Online,,Summer 2018,,,,,,,,,,,,,,,,+ Online,"Annual
Total",
,,AH,,,HL,,,OR,,,RO,,,SF,,,Tot,,,AH,,,HL,,,OR,,,RO,,,SF,,,Tot,,,AH,,,HL,,,OR,,,RO,,,SF,,,Tot,,,
,,M,A,E,M,A,E,M,A,E,M,A,E,M,A,E,,,,M,A,E,M,A,E,M,A,E,M,A,E,M,A,E,,,,M,A,E,M,A,E,M,A,E,M,A,E,M,A,E,,,,
1000,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,2,,,,,2,,6,
1050,,,,,2,1,1,,,,2,1,1,,,,8,6,,,,,2,1,2,,,,2,1,1,,,,9,5,,,,,2,,2,,,,1,,1,,,,6,5,39,
1070,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,1,,3,
1090,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,
1100,,,1,,,,1,1,,,,1,,,,,4,,,,1,,,,1,1,,,,1,,,,,4,,,,1,,,,,,,,,1,,,,,2,,10,
1200,,1,1,1,,,,,1,2,,,,,,,6,,,1,1,1,,,,,1,2,,,,,,,6,,,1,1,,,,,,,1,,,,,,,3,,15,
1295,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2,
1300,,1,1,1,,,,,1,1,,,,,,,5,,,1,1,1,,,,,1,1,,,,,,,5,,,1,,1,,,,1,,,,,,,,,3,,13,
1305,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,3,
1310,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,3,
1320,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,3,
1330,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,3,
1400,,1,,1,,,,,2,1,,,,,,,5,,,1,,1,,,,,2,1,,,,,,,5,,,1,,1,,,,1,,,,,,,,,3,,13,
1420,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,3,
1440,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,3,
1500,,,1,2,,,,1,1,2,,,,,,,7,,,,1,2,,,,1,1,2,,,,,,,7,,,,1,,,,,,,1,,,,,,,2,,16,
1512,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2,
1550,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2,
1600,,1,1,1,,,,,,,,,,,,,3,,,1,1,1,,,,,,,,,,,,,3,,,1,,1,,,,,,,,,,,,,2,,8,
1610,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,2,
1620,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,2,
1630,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,1,,1,
1720,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,
1721,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,1,,1,
1722,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,1,,1,
2111,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,2,,4,
2151,,,,1,,,,,1,,,,,,,,2,,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,1,,,,,,,1,,5,
2212,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,,1,,1,
2232,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,3,
2252,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,1,1,,,,,,,2,,6,
2333,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,3,
2353,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2,
2434,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,3,
2454,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,2,,,,,,,2,,4,
2515,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,
2535,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,1,,1,
2555,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2,
2616,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,1,,1,
2636,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,1,,1,
2656,,1,,,,,,,,1,,,,,,,2,,,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,0,,4,
2737,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2,
2757,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2,
2818,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,0,,4,
2819,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2,
2838,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,3,
2845,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,1,,1,
2858,,,,1,,,,,,1,,,,,,,2,,,,,1,,,,,,1,,,,,,,2,,,,,,,,,,,1,,,,,,,1,,5,
2859,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,3,
2862,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2,
2980,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,3,
2991,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,,2,
Tot.,,9,7,12,2,1,2,4,9,19,5,2,1,0,0,0,73,6,,10,8,12,2,1,3,4,9,19,5,2,1,0,0,0,76,5,,7,8,10,2,0,2,6,3,9,1,3,2,0,0,0,53,5,218,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,* Note: Counts of online sections are included only in the annual totals - not in the semester totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
