Term,Campus,Section,Short Title,Faculty Request,Weeks,Day(s),Meth,,
2020/WI,AH,CIS-1050-A1511,Personal Comp Prod Tools,,15,,ONL,,
2020/WI,AH,CIS-1050-A1512,Personal Comp Prod Tools,,15,,ONL,,
2020/WI,AH,CIS-1050-A1513,Personal Comp Prod Tools,,15,,ONL,,
2020/WI,AH,CIS-1050-A1519,Personal Comp Prod Tools,,15,,ONL,,
2020/WI,AH,CIS-1050-A1520,Personal Comp Prod Tools,,15,W,LEC,Afternoon,
2020/WI,AH,CIS-1050-A1598,Personal Comp Prod Tools,,15,W,HYB,Evening,
2020/WI,AH,CIS-1060-A1511,PC Spreadsheet Concepts,,15,T,LEC,Evening,
2020/WI,AH,CIS-1070-A1211,PC Presentation Concepts,,12,M,ONL,,
2020/WI,AH,CIS-1200-A1511,Intro to Database Systems,,15,MW,LEC,Morning,
2020/WI,AH,CIS-1200-A1512,Intro to Database Systems,,15,W,LEC,Afternoon,
2020/WI,AH,CIS-1200-A1513,Intro to Database Systems,,15,M,LEC,Evening,
2020/WI,AH,CIS-1200-A1514,Intro to Database Systems,,15,M,ONL,,
2020/WI,AH,CIS-1295-A1511,Voice and Data Cabling,,15,M,LEC,Evening,
2020/WI,AH,CIS-1300-A1511,Networking Concepts,,15,M,LEC,Morning/Afternoon,
2020/WI,AH,CIS-1300-A1512,Networking Concepts,,15,TTh,LEC,Afternoon,
2020/WI,AH,CIS-1300-A1513,Networking Concepts,,15,T,LEC,Evening,
2020/WI,AH,CIS-1300-A7111,Networking Concepts,,7,MW,LEC,Afternoon,
2020/WI,AH,CIS-1305-A8111,CCNA I: Intro to Networks,,8,MW,LEC,Morning,
2020/WI,AH,CIS-1310-A7211,CCNA II: Routing/Switching,,7,MW,LEC,Morning,
2020/WI,AH,CIS-1320-A7111,CCNA III: Scaling Networks,,7,MW,LEC,Evening,
2020/WI,AH,CIS-1330-A7211,CCNA IV: Connecting Networks,,7,MW,LEC,Evening,
2020/WI,AH,CIS-1500-A1511,Intro to Programming (Java),,15,T,LEC,Evening,
2020/WI,AH,CIS-1500-A1512,Intro to Programming (Java),,15,MW,LEC,Morning,
2020/WI,AH,CIS-1500-A1513,Intro to Programming (Java),,15,Th,LEC,Evening,
2020/WI,AH,CIS-1550-A1511,Intro to Secure Prog,,15,T,LEC,Evening,
2020/WI,AH,CIS-1600-A1511,Fundamentals of Cybersecurity,,15,Th,LEC,Evening,
2020/WI,AH,CIS-1600-A1512,Fundamentals of Cybersecurity,,15,TTh,LEC,Morning,
2020/WI,AH,CIS-1600-A1513,Fundamentals of Cybersecurity,,15,M,LEC,Afternoon,
2020/WI,AH,CIS-1600-A7111,Fundamentals of Cybersecurity,,7,MW,LEC,Evening,
2020/WI,AH,CIS-1620-A7211,Intro to Cryptography,,7,MW,LEC,Afternoon,
2020/WI,AH,CIS-1630-A1511,,,15,TH,LEC,Evening,
2020/WI,AH,CIS-2111-A1511,Systm Analysis & Design (UML),,15,M,LEC,Evening,
2020/WI,AH,CIS-2115-A1511,Business Analysis/Processes,,15,W,LEC,Evening,
2020/WI,AH,CIS-2151-A1511,Object-Oriented Program (Java),,15,TH,LEC,Evening,
2020/WI,AH,CIS-2232-A1511,Fundamentals of System Support,,15,Sa,LEC,Morning,
2020/WI,AH,CIS-2313-A1511,E-Business and E-Commerce,,15,M,LEC,,
2020/WI,AH,CIS-2434-A1511,Intro to Linux/Unix Admin,,15,W,LEC,,
2020/WI,AH,CIS-2515-A1511,Database Dsgn/Mgt Oracle SQL,,15,M,LEC,Afternoon,
2020/WI,AH,CIS-2535-A1511,Windows Server Administration,,15,M,LEC,Evening,
2020/WI,AH,CIS-2656-A1511,Visual Basic.NET Programming,,15,W,LEC,Morning,
2020/WI,AH,CIS-2737-A1511,Database Administration,,15,W,LEC,Evening,
2020/WI,AH,CIS-2838-A7211,System Security,,7,MW,LEC,Evening,
2020/WI,AH,CIS-2980-A1511,Computer Svc Tech & Tchnq A+,,15,T,LEC,Evening,
2020/WI,HL,CIS-1050-H1221,Personal Comp Prod Tools,,12,MW,LEC,Afternoon,
2020/WI,HL,CIS-1050-H1222,Personal Comp Prod Tools,,12,MW,LEC,Morning,
2020/WI,HL,CIS-1050-H1521,Personal Comp Prod Tools,,15,T,LEC,Morning,
2020/WI,HL,CIS-1050-H1524,Personal Comp Prod Tools,,15,T,LEC,Evening,
2020/WI,HL,CIS-1050-H1525,Personal Comp Prod Tools,,15,M,LEC,Evening,
2020/WI,HL,CIS-1050-H1528,Personal Comp Prod Tools,,15,,ONL,,
